CLUB NAME,CLUB DESCRIPTIONS,CLUB INSTAGRAM,CLUB EMAIL,CLUB WEBSITE
Psi Chi International Honor Society in Psychology,"What is Psi Chi?

Psi Chi is the International Honor Society in Psychology, founded in 1929 for the purposes of encouraging, stimulating, and maintaining excellence in scholarship, and advancing the science of psychology. Membership is open to graduate and undergraduate men and women who are making the study of psychology one of their major interests, and who meet the minimum qualifications. Psi Chi is a member of the Association of College Honor Societies and is an affiliate of the American Psychological Association (APA) and the American Psychological Society (APS).

Psi Chi functions as a federation of chapters located at over 1,000 senior colleges and universities in the USA and Canada. The Central Office is located in Chattanooga, Tennessee. A Board of Directors, composed of psychologists who are Psi Chi members and who are elected by the chapters, guides the affairs of the organization and sets policy with the approval of the chapters.

What are the Goals of Psi Chi?

Psi Chi serves two major goals. The first of these is the Society’s obligation to provide academic recognition to its inductees by the mere fact of membership. The second goal is the obligation of each of the Society’s local chapters to nurture the spark of that accomplishment by offering a climate congenial to its creative development. For example, the chapters make active attempts to nourish and stimulate professional growth through programs designed to augment and enhance the regular curriculum and to provide practical experience and fellowship through affiliation with the chapter. In addition, the international organization provides programs to help achieve these goals, including Society and regional conventions held annually in conjunction with the psychological associations, research award competitions, and certificate recognition programs.",https://www.instagram.com/psichi_at_ucla/,uclapsichi@gmail.com,https://uclapsichi.weebly.com/
Public Health Nutrition Club ,"The Public Health Nutrition Club (PHNC) is based out of the Fielding School of Public Health, however we are open to any UCLA community member to join. PHNC is dedicated to championing nutrition in public health. We focus on many areas of nutrition including but not limited to food justice, access, policy, environment, food systems, education, and general advocacy work.",https://instagram.com/uclaphnc?igshid=MWZjMTM2ODFkZg==,phnc.ucla@gmail.com, 
PULSAR,"The PhD and Undergraduate Life Scientists in Academic Research (PULSAR) organization strives to build a sense of community in which undergraduates can connect and present their research in the life sciences with others with the direction of graduate student mentors. PULSAR aims to incorporate undergraduate students to the greater scientific community through networking events, mentorship, and research training. By bridging any barriers to accessing UCLA’s academic research community, PULSAR encourages undergraduate students to become leaders of science and produce cutting-edge research.",https://www.instagram.com/pulsarucla/,pulsarucla@gmail.com,https://pulsarucla.weebly.com
Q-Scholars,"Q-Scholars of UCLA strives to give Queer undergraduate students the opportunity to engage in and present research that focuses on Queer themes and issues. As an organization, Q-Scholars challenges convention by ensuring that queer students have a safe space to present queer issues that typically do not have an active platform in academia. It is our hope that queer students develop a profound interest in queer centric research and go on to make major research contributions to the Queer community.",https://www.instagram.com/uclaqscholars/,uclaqscholars@gmail.com, 
Quantum Computing Student Association,"The Quantum Computing Student Association (QCSA) at UCLA is a combined undergraduate and graduate student group under the CQSE focused on everything under the umbrella of quantum information science, including quantum computers, sensors, and algorithms.

We host regular talks by professors and industry professionals working on quantum computing with a variety of different hardwares, such as superconducting qubits, trapped ions, and quantum dots, as well as in the fields of quantum programming and quantum information. We also organize a journal club, social events, and various other career building events focused on quantum information science.

We welcome students of all levels who are interested in quantum computing, and try to make our events as accessible as possible! We have weekly", ,quantum.ucla@gmail.com,http://qcsa.cqse.ucla.edu/
Quiet,"Quiet is a club designed for introverts, to connect with each other, to learn more about their nature, and to enable success in a sea of extroverts! We have workshops, speakers, and ""socials!""",https://www.instagram.com/uclaquietclub/,quietclubucla@gmail.com, 
Quiz Bowl at UCLA,Quiz Bowl is an academic trivia competition. We have fun learning as much as we can and competing against other universities., ,quizbowl@g.ucla.edu, 
SEAM: Student Exploration of Academic Medicine at UCLA,"An Undergraduate Student organization seeking to: Promote scientific collaboration and engagement between club members, Provide opportunities for undergraduates to learn about new biomedical advancements, Introduce and enhance commonly used skills within the scientific community, and Improve upon specific subject knowledge.", ,seamatucla@gmail.com,https://www.seamatucla.com/
Sigma Pi Sigma,"Sigma Pi Sigma is UCLA's physics honors fraternity. Sigma Pi Sigma members will have access to networking events, socials, professional development, and opportunities to interact with professors in a wide range of physics disciplines.",https://www.instagram.com/sigpisig/,Sigpisig@gmail.com, 
"Sigma Tau Delta, English Honors Society at UCLA",Sigma Tau Delta is an International English Honors Society. We exist to promote the discipline of English studies at the undergraduate level. We encourage our members to advance their study of literature through our social meetings and academic presentations. We come together to share our love of literature!,https://www.instagram.com/uclaenglishhonors/,uclasigmataudelta@gmail.com,http://english.ucla.edu/undergraduate-opportunities-societies/
Society and Genetics Undergraduate Organization at UCLA,"Interested in Medicine, Law, Bioethics, or Public Health? Our organization promotes an interdisciplinary approach to current issues at the intersection of science, health, and society. We host dynamic discussions, workshops, career panels, and make it a primary goal to provide long lasting resources for our members. We also have a mentorship program where we match upperclassmen and lowerclassmen with similar interests. Come check us out!",https://www.instagram.com/uclasguo/,socgen.ucla@gmail.com,https://socgenucla.wixsite.com/sguo
Society for Advancement of Chicanos/Hispanics and Native Americans in Science (SACNAS) at UCLA,SACNAS at UCLA is part of the SACNAS National Organization. Both the National Organization and the Chapter are dedicated to fostering the success of Chicano,https://instagram.com/sacnas.ucla?utm_medium=copy_link,sacnas.ucla@gmail.com,http://www.sacnasatucla.com/
Society for Gender Equity in Geoscience,"The mission of the Society for Gender Equity in Geoscience is to promote gender equity in the geophysical sciences through outreach, community building, institutional reform, and career development.",https://www.instagram.com/sgegatucla,sgegatucla@gmail.com,http://sgeg.ucla.edu/
Society of California Archivists,"This is the student chapter of the Society of California Archivists.

""The Society of California Archivists, Inc. exists to support and develop the education of those who collect, care for, and provide access to the documentary heritage of California and adjoining areas and to encourage public interest in and public support for archival facilities in public and private institutions.

To this end the Corporation shall:

act as a vehicle for dissemination of information about archival collections, issues, and methodology to the profession and the public; 

provide a forum for the discussion of matters related to the creation, preservation, and use of historical documents;

develop, offer, and support archival education programs;

cooperate with individuals and other organizations on matters of common concern;

and advocate the identification, collection, preservation, use and appreciation of historical records and manuscripts.""", ,uclasca@gmail.com, 
Sociology Undergraduate Association,"The Sociology Undergraduate Association is committed to fostering a vibrant, enriching community among students interested in the academic pursuit of sociology. Through offering relevant resources and events that address students' social, academic, and needs, we seek to create a place where students can get inspired by each other and explore opportunities beyond the classroom.",https://www.instagram.com/bruin_sua/,sua@ucla.edu,https://soc.ucla.edu/undergraduate-study/sociology-undergraduate-advisory-board/sociology-undergradu
Spanish & Portuguese Graduate Student Association,"The Spanish &amp; Portuguese Graduate Student Association (SPGSA) acts as a bridge between graduate students, our faculty colleagues, and the wider UCLA community. Members of this annually elected student organization represent Spanish &amp; Portuguese graduate students at faculty meetings, Humanities Council meetings, and with the departmental Graduate Affairs Committee and Lower Division Council. SPGSA organizes 1-2 meetings per quarter to discuss issues relevant to graduate students, to share career planning and academic professionalization information with peers, and to create a social forum to involve new and continuing graduate students in our scholarly community.", ,spgsaucla@gmail.com, 
Statistics Students Association,"Stats Club at UCLA hosts social events, workshops, and guest talks for students who are interested in statistics, data science, and more. We also help organize the annual ASA DataFest — the largest data hackathon on the West Coast.",https://www.instagram.com/statistics.ucla/,statistics.ucla@gmail.com,http://statistics.ucla.edu/index.php/groups/statistics-club-at-ucla/
"Student Members of the American Chemical Society, UCLA Chapter","SMACS aims to foster a social community of chemists interested in research, outreach, professional development, and careers in the field of chemistry. We hold weekly meetings (Wednesdays 6-7pm) in Young Hall 2033 involving professional &amp; academic development, guest speakers, mentorship, service events, and socials relating to the field of chemistry. We also hold socials and other events throughout the quarter. Please check out our website &amp; follow our Instagram for up-to-date info!",https://www.instagram.com/smacsbruins/,smacsbruins@gmail.com,https://smacsbruins.wixsite.com/smacsucla
Student Stroke Team,"In 1992, recognizing the need for earlier detection and treatment of strokes, famed UCLA emergency room physician and neurologist Dr. Sidney Starkman gathered a fortunate group of UCLA undergraduate students and entrusted them with the responsibility to serve as the ""eyes and ears"" of the UCLA Stroke Network. Since its humble beginnings, the UCLA Stroke Program has split into two separate sister organizations: Student Stroke Team and Stroke Force. Both programs have expanded into well-ordered and effective student-operated organizations, each consisting of roughly 25 students rigorously chosen from UCLA's student body.

Students in Student Stroke Team have the opportunity to experience neurorounds, which involve shadowing the Ronald Reagan Stroke Team on their morning rounds. On these neurorounds, students gain exposure to the field of stroke neurology, emergency medicine, and patient interaction. Members also participate in general meetings where they learn and present case studies and lessons about neurovasculature, imaging, the basics of clinical research, and current stroke clinical trials at UCLA. 

As research associates, students learn the basis for the investigation of new drugs and interventions in stroke, the pre-clinical research, the phases of trials, and the proper interpretation of the results obtained. In their tasks, students utilize their knowledge of the study hypothesis and methodology, patient selection criteria, inclusion and exclusion criteria, and rationale for the use of the drug procedure.",https://www.instagram.com/uclastroketeam/,stroke@ucla.edu,https://strokeprogram.weebly.com/
Student Virology Group,"The Student Virology Group (SVG) aims to promote the study of virology both at UCLA and in the surrounding Los Angeles community. Regardless of your familiarity with virology, we welcome you to join us in learning more about the organisms that have directly impacted all of our lives in the past years. SVG offers opportunities to discuss the latest research and to meet guest speakers at the forefront of the field. In addition, we work with public schools and local governments to give seminars on public health, introductory virology, and SARS-CoV-2.",https://www.instagram.com/uclastudentvirologygroup/,svg.ucla@gmail.com, 
Students for Integrative Medicine (SIM),"Students for Integrative Medicine (SIM) is a student group at UCLA that strives to raise student awareness for evidence-based, integrative, and whole-person approaches to medicine and health. The healthcare paradigm we support is one that is characterized not only by disease treatment and prevention, but also by interprofessionalism, health promotion, and person-oriented care.

SIM encourages students to be aware of our current medical system, methods of self-care, and healing ideologies across cultures. We also provide a forum to learn, experience, share, and explore topics in Integrative Medicine (IM) such as nutrition, mind-body medicine, research, and healthcare. We aim to build a community of students interested in these topics and to connect them with networks of professionals in their respective fields.",https://www.instagram.com/simatucla/,SIMatUCLA@gmail.com,https://simatucla.wixsite.com/uclasim
The Big Bang Theory Scholars Society,"The Big Bang Theory Scholars Society is a growing multitude of highly driven students in STEM related fields, that has received scholarships from The Big Bang Theory Scholarship Endowment. The Endowment was funded and created by The Big Bang Theory, its cast and crew members, and Chuck Lorre Family Foundation. The Big Bang Theory Scholars Society will strive to give back to the community through community service, to use the scholarship and its benefits to propel the scholars forward into their respective careers, and to establish a close-knit community amongst the scholars that will extend many years beyond their undergraduate years.", ,tbbtscholarssociety@gmail.com, 
The Bruin Institute ,"The Bruin Institute is a distinguished research institution at the forefront of economic analysis and policy development, with a deep commitment to advancing the field of economics and promoting sustainability. The institute specializes in conducting in-depth research in four key domains: policy economics, microeconomics, macroeconomics, and green economics.

Policy Economics: At the Bruin Institute, a team of skilled economists and policy analysts are committed to delving into pressing societal issues and formulating informed policy recommendations. By meticulously analyzing economic data, assessing trends, and evaluating the potential impact of policy changes, the institute strives to offer evidence-based solutions that promote economic growth, social equity, sustainability, and environmental responsibility.

Microeconomics: The institute places a strong emphasis on microeconomic analysis, diving into the intricacies of individual economic agents, markets, and behavior. Researchers at the Bruin Institute investigate topics such as consumer behavior, market structures, and firm strategies to uncover valuable insights that aid in crafting effective policies and strategies for businesses and individuals, while also considering their ecological footprint and sustainability practices.

Macroeconomics: Understanding the broader economic landscape is paramount to navigating the complexities of global economics. The Bruin Institute engages in macroeconomic research to examine large-scale economic phenomena, including factors that influence overall economic growth, inflation, unemployment, monetary policy, fiscal policy, and sustainable development. By developing a comprehensive understanding of these dynamics, the institute aims to contribute to macroeconomic stability, sustainability, and informed decision-making at both national and international levels.

Green Economics: A crucial aspect of the Bruin Institute's research focus is on green economics, which encompasses sustainable economic practices, environmental stewardship, and the integration of sustainability principles into economic policies. The institute explores topics such as renewable energy, sustainable resource management, circular economy models, and climate change mitigation strategies, aiming to drive a transition toward a more sustainable and resilient global economy.

Competition Creation: Complementing its research endeavors, the Bruin Institute fosters academic and professional growth through the creation of competitive events. These competitions provide a platform for emerging economists, policymakers, and industry professionals to showcase their expertise, exchange ideas, and collaborate on innovative solutions that contribute to both economic advancement and sustainability goals. By organizing and supporting these events, the institute nurtures a vibrant community of scholars and practitioners dedicated to driving the field of economics forward towards a more sustainable and equitable economic future.",https://www.instagram.com/thebruininstitute/,office.thebruininstitute@gmail.com, 
The Classical Society at UCLA,"The Classical Society at UCLA is a community of Classics-interested undergraduates of all majors and academic backgrounds. Through both academic and social events, it provides opportunities for students to explore and engage with Classics, also known as the cultures of Greek and Roman antiquity and their afterlife.",https://www.instagram.com/classicsatucla/,uclaclassicalsociety@gmail.com, 
The Healthcare Improvement and Innovation in Quality (THINQ) at UCLA,"The Healthcare Improvement and Innovation in Quality (THINQ) Collaborative is a group of undergraduate and graduate students working with physicians at Ronald Reagan UCLA Medical Center to conduct clinical research and make proposals for the betterment of care quality.

Our program involves research, physician shadowing experience, speaker events from individuals in various healthcare fields, as well as discussions about diverse topics in the healthcare industry that affect patients and physicians. We shadow patient rounds, collect data, present research, and review papers on healthcare in order to propose solutions.

We have had previous opportunities to present at several national undergraduate research conferences and submit manuscripts to undergraduate research journals. Additionally, we offer mentorship, leadership and professional development, and the opportunity to view medicine through an intersectional perspective.",https://www.instagram.com/uclathinq/,thinqadmissions@gmail.com, 
Theory @ UCLA,"We're the first theoretical computer science community at UCLA. We're planning to organize reading groups, workshops, socials and foster a community for people that are interested in the field of theoretical computer science.", ,boranerol@ucla.edu,http://www.theoryatucla.com
Umoja,"UMOJA (A Kiswahili word meaning unity) is a community and critical resource dedicated to enhancing the cultural and educational experiences, careers, and future of African American and other students.",https://www.instagram.com/ucla.umoja/,uclaumoja@gmail.com,https://umojacommunity.org/contact
Undergraduate Anthropological Association at UCLA,"The purpose of the Undergraduate Anthropological Association at UCLA (UAA at UCLA) is to foster a lively community of undergraduate students studying or interested in the diverse field of anthropology and connect them with the Department of Anthropology at the University of California, Los Angeles. Since 2010, UAA at UCLA has cultivated a space where students can engage with peers, access academic",https://www.instagram.com/uaabruins/,uaa@anthro.ucla.edu, 
Undergraduate Bioethics Journal,"The Undergraduate Bioethics Journal is an undergraduate journal exploring the intersection of ethics, biology, society, public health, and public policy. The Journal is staffed by undergraduate students at the University of California, Los Angeles that publish the Journal annually during the spring quarter. The Undergraduate Bioethics Journal accepts a wide selection of high quality works that fall under the intersectional field of bioethics—original essays, opinion pieces, editorials, book reviews, visual investigations and art. All undergraduate students wishing to participate in this open discussion are encouraged to submit their work. For written works, please share your article as a Google Document (.doc", ,uclabioethicsjournal@gmail.com, 
Undergraduate Economics Society,"The UCLA Undergraduate Economics Society (UES) dedicates itself to providing a platform to unify, represent and advance the interests of the undergraduate economics student body. The organization aims to organize and execute a variety of different programs targeted at undergraduate economics students at UCLA, and serve to strengthen relations between professional industry, academia and the student body. Members of the organization will endeavor to provide general counseling to all.",https://www.instagram.com/uclaues/,undergradeconsoc.ucla@gmail.com,http://uesatucla.com/
Undergraduate Interdisciplinary Research Association,"The Undergraduate Interdisciplinary Research Association shines a spotlight on the work of undergraduate students working in interdisciplinary research. We recognize both the diverse interests of students at UCLA and the increased need for nuanced approaches to solving our society’s most pressing issues. By hosting monthly seminars, providing student-to-student mentorship, and running an annual research symposium, the Undergraduate Interdisciplinary Research Association provides the space for UCLA’s undergraduate researchers from across disciplines to build community in research.",https://www.instagram.com/uirabruins/,uclauira24@gmail.com,https://uclaura-web.s3.us-west-1.amazonaws.com/index.html
Undergraduate Math Council,"The Undergraduate Math Council is a council made up of undergraduate students, directly affiliated with the UCLA Math Department. Mathematics, and STEM at large, often carries an air of exclusivity, particularly for students from underrepresented communities. The council aims to address these issues by (1) fostering more effective and streamlined communication between students and the Math Department and (2) promoting an inclusive, equitable, and diverse environment for UCLA Math students. For more details on the workings of the council, please refer to our proposal here: tinyurl.com",https://www.instagram.com/uclamathcouncil/,ugrad@math.ucla.edu,http://math.ucla.edu
Undergraduate Mathematics Students Association,"The Undergraduate Mathematics Students Association is a student group sponsored by the UCLA Mathematics Department. We are open to all UCLA undergraduate students who are interested in mathematics.

UMSA focuses on helping undergraduates gain a sense of community among their fellow UCLA math enthusiasts. This is achieved through regular social events, professional info sessions, workshops, professor talks, and more. Our organization recognizes the academic concerns of our members, ranging from applying to graduate school to finding a career path, or even choosing the right major.",https://www.instagram.com/umsaatucla,umsa@g.ucla.edu, 
"Undergraduate Psychology Society at UCLA, The","We are students who want to create a diverse and inclusive community that shares the field of psychology with all who can benefit, regardless of major. 

We will provide a more in-depth understanding of psychology topics and how you can benefit from this knowledge in your personal, academic, and professional life. 

We want to help all students find their passion for psychology through interactive discussions and activities surrounding important topics in our society. 

We strive to establish a strong connection between our leaders and our members so that we can grow our knowledge and passion for psychology together. If you are interested in joining TUPS, you can find our membership application on our website, linked on this page.",https://www.instagram.com/tupsbruins,tupsbruins@g.ucla.edu,https://tupsbruins.wixsite.com/site
"Undergraduate Research Journal of Psychology, The","An annual publication of collaborative efforts between undergraduate students at UCLA and other universities, The Undergraduate Journal of Psychology at UCLA aims to promote and disseminate student excellence in psychological research. The organization intends to serve the undergraduate community at large by making the publication process more accessible and highlighting the interesting and relevant nature of the study of psychology. This publication offers multiple opportunities and students can either submit work or join the staff in an editing, marketing",https://www.instagram.com/uclapsychjournal,psychjournal.ucla@gmail.com,http://urjp.psych.ucla.edu
Undergraduate Science Journal,"The Undergraduate Science Journal (USJ) is a peer-reviewed, student-run academic journal funded by UCLA's Undergraduate Research Center—Center for Academic and Research Excellence (URC-CARE) with support from the UCLA Clinical and Translational Science Institute. The Undergraduate Science Journal features original research articles and review articles written by UCLA undergraduates in all STEM fields, including life sciences, engineering, statistics, physics, mathematics, and computer science. We aim to provide a multidisciplinary platform that allows students to publish their research, engage with the larger research community at UCLA, and get involved in the peer review process.",http://instagram.com/usjucla,usj@ucla.edu,http://uclausj.weebly.com/
Underrepresented Graduate Students in Psychology,"Underrepresented Graduate Students in Psychology (UGSP) is a group dedicated to supporting and advocating for psychology students from racial, linguistic, geographic, or socioeconomic backgrounds that are currently underrepresented in graduate education. UGSP is designed to provide valuable social support to these students whom may otherwise find it difficult to pursue their graduate studies. Through activities, mentorship, and community outreach, we hope to provide a community that encourages the potential and promise of those from underrepresented groups.  By promoting and improving multicultural training in psychology, we hope to not only increase ethnic minority student recruitment, retention, and graduation but also improve intergroup relations within our department. UGSP operates with the following branches:

UGSP Brown Bag Committee
This committee organizes a lecture series that is open to all graduate students. These talks are given by faculty members and post-doctoral students from underrepresented backgrounds or whose research focuses on diversity issues. Each Brown Bag lecture includes both a research presentation and a career development component. This speaker series allows graduate students to network with prominent faculty members from underrepresented groups, hopefully fostering a sense social connectedness and community within the Psychology Department.

UGSP Undergraduate Outreach Committee 
This committee organizes panels for undergraduate students to learn about various aspects of the graduate student experience. We hope to galvanize interest in graduate school by offering examples of successful underrepresented students from their own university. We also hope that this will provide undergraduates with the opportunity to connect with graduate students so they feel comfortable asking questions about diversity in graduate school.

UGSP High School Outreach Committee 
As members of underrepresented groups, we find it imperative to give back to our communities through teaching, education, and service.  UGSP will target high schools in low-income neighborhoods and will hold lectures for both parents and students about getting into college.

UGSP Transfer Outreach Committee
This committee is dedicated to providing resources and improving the experiences of the diverse group of transfer students at UCLA. A central goal of this committee is to serve transfers as they navigate their undergraduate experience and provide tools and information as they set future goals by creating", ,ucla.ugsp@gmail.com,http://ugsp.psych.ucla.edu/
University of California Chemical Symposium (UCCS),"We are an annually held, University of California wide conference for undergraduates, graduate students, and postdocs doing research in chemistry fields to come together and present their research in a collaborative environment. Professional development workshops, career panels, and networking sessions with industry and academic attendees are also held in addition to science podium talks and poster session. This three day conference is usually help during the late spring at UCLA Lake Arrowhead Conference Center and is a unique opportunity to present and see some of the cutting edge research happening at the UC!", ,ucchemsym@gmail.com,http://ucchemsym.org
USAC Academic Affairs Commission,To advocate on behalf of the UCLA undergraduate body to the administration on all issues affecting academic life., ,usaaac@gmail.com,https://www.usacacademicaffairscommission.com
Vis International Moot Organization,"The purpose of VIMO shall be as follows:
1. To foster an active interest in international commercial arbitration among UCLA School of Law students.
2. To promote deeper understanding of discrete legal issues within this field.
3. To encourage successful advocacy at the Vis Moot competition.
4. To promote the reputational excellence of UCLA School of Law within the international law community.
5. To develop and maintain an ongoing connection between UCLA School of Law and representatives of the international law community, in particular amongst Vis alumni and friends and supporters of this program.", ,vimo@lawnet.ucla.edu, 
Watts Tutorial Program,"The Watts Tutorial Program serves the educational needs of underprivileged elementary through high school students residing in the Nickerson Garden, Imperial Court, and William Mead housing developments located in Watts and East Los Angeles.",https://www.instagram.com/wattstutorialprogram/,wattstutorialprogram@gmail.com,http://wattstutorialprogramatucla.com/
Wired for Empathy at UCLA,"Wired for Empathy (WE) is a non-profit organization aimed at connecting underserved elderly homes with UCLA students who are willing to speak about their passions and expertise in the greater Los Angeles region. Our club first started out as a group of history enthusiasts, but we quickly realized that a lot of our members brought expertise from a variety of fields. Many elderly homes grow disconnected from the outside world. Social isolation makes this population especially susceptible to a host of diseases. Our goal is to bring valuable skills, lectures, and discussions from UCLA students to these elderly homes in the hope that we can bring positively, enjoyment, and happiness to the residents. We believe strongly that the most valuable thing we have to share as students is our knowledge and willingness to serve.",https://www.instagram.com/hecucla/,wired.for.empathy@gmail.com,https://wiredforempathy.wixsite.com/ucla
Women's Collective,"This organization plans to meet Mondays 6:00-8:00 pm. These meetings will entail presentations or discussions over topics related to our political, social, and cultural climates.", ,womenscollective.ucla@gmail.com, 
WTS Student Chapter @ UCLA,WTS-UCLA is dedicated to the representation and empowerment of UCLA students interested in the field of transportation. Our aim is to ensure students have the necessary skills and network to improve their professional development and be competitive applicants in the field. Activities planned by WTS-UCLA will reflect these goals of student representation and empowerment and improve the skillsets of members., ,wtsucla@googlegroups.com, 
Youth Empowerment in Science (Y.E.S.) at UCLA,"YES at UCLA is an organization inspiring the next generation of scientists through a team of highly motivated, undergraduate educators. Our ultimate vision is to show young students (3rd to 5th graders) that anyone, regardless of race, gender, or socioeconomic status, can find success in the field of science.  We will fulfill this mission by holding science lessons at schools in the LA area.  New members will be trained to work with children, contact schools of their choice, prepare small lectures, and ultimately lead clinics. Whether members need volunteer hours or simply want to help their community, YES will track their service throughout the year.",https://www.instagram.com/yesatucla/,yesatucla@gmail.com,https://www.yesatucla.com/
